item_idx,recipe_id
0,38
1,40
2,41
3,43
4,45
5,46
6,48
7,49
8,50
9,52
10,55
11,58
12,59
13,62
14,63
15,66
16,67
17,70
18,81
19,82
20,84
21,85
22,91
23,92
24,93
25,94
26,100
27,108
28,110
29,112
30,113
31,114
32,115
33,118
34,119
35,120
36,122
37,123
38,128
39,131
40,133
41,135
42,136
43,139
44,141
45,142
46,143
47,144
48,146
49,147
50,148
51,149
52,150
53,152
54,153
55,154
56,156
57,161
58,164
59,165
60,167
61,170
62,172
63,174
64,175
65,176
66,178
67,180
68,181
69,185
70,186
71,187
72,190
73,191
74,192
75,194
76,197
77,198
78,199
79,201
80,203
81,205
82,210
83,213
84,215
85,216
86,223
87,224
88,229
89,232
90,236
91,240
92,242
93,243
94,245
95,246
96,249
97,251
98,256
99,261
100,262
101,266
102,270
103,271
104,272
105,273
106,275
107,276
108,277
109,278
110,279
111,280
112,282
113,283
114,287
115,288
116,290
117,291
118,293
119,294
120,297
121,298
122,300
123,301
124,302
125,304
126,310
127,311
128,314
129,316
130,318
131,321
132,324
133,327
134,328
135,329
136,337
137,339
138,342
139,343
140,345
141,346
142,349
143,350
144,351
145,352
146,355
147,356
148,358
149,360
150,361
151,363
152,364
153,365
154,366
155,374
156,375
157,376
158,378
159,379
160,380
161,381
162,383
163,384
164,385
165,387
166,393
167,396
168,399
169,400
170,401
171,402
172,404
173,407
174,408
175,409
176,411
177,412
178,413
179,414
180,422
181,423
182,424
183,428
184,429
185,431
186,432
187,434
188,435
189,436
190,437
191,444
192,445
193,449
194,450
195,454
196,456
197,458
198,459
199,460
200,461
201,464
202,465
203,466
204,467
205,469
206,471
207,472
208,473
209,478
210,483
211,484
212,489
213,490
214,492
215,493
216,495
217,496
218,498
219,502
220,503
221,504
222,506
223,508
224,512
225,514
226,517
227,519
228,520
229,524
230,526
231,531
232,533
233,534
234,535
235,536
236,539
237,540
238,543
239,544
240,546
241,547
242,548
243,555
244,556
245,557
246,558
247,559
248,560
249,561
250,563
251,564
252,565
253,567
254,570
255,571
256,579
257,580
258,581
259,582
260,583
261,584
262,585
263,588
264,589
265,590
266,591
267,593
268,595
269,601
270,602
271,603
272,604
273,605
274,606
275,607
276,608
277,609
278,612
279,614
280,615
281,616
282,617
283,623
284,626
285,628
286,630
287,632
288,634
289,635
290,636
291,637
292,638
293,639
294,642
295,643
296,644
297,645
298,647
299,648
300,650
301,651
302,652
303,653
304,657
305,658
306,659
307,660
308,661
309,665
310,666
311,669
312,670
313,671
314,672
315,673
316,674
317,676
318,680
319,682
320,683
321,685
322,688
323,689
324,690
325,691
326,692
327,693
328,696
329,705
330,707
331,712
332,719
333,730
334,736
335,742
336,747
337,749
338,754
339,759
340,760
341,768
342,773
343,776
344,777
345,778
346,779
347,780
348,782
349,809
350,820
351,822
352,824
353,825
354,828
355,833
356,834
357,854
358,860
359,868
360,876
361,884
362,885
363,893
364,897
365,902
366,912
367,913
368,916
369,930
370,931
371,932
372,933
373,938
374,953
375,956
376,958
377,962
378,965
379,970
380,971
381,974
382,975
