item_idx,recipe_id
0,38
1,40
2,41
3,43
4,45
5,46
6,48
7,49
8,50
9,52
10,55
11,58
12,59
13,62
14,63
15,66
16,67
17,70
18,81
19,82
20,84
21,85
22,91
23,92
24,93
25,94
26,100
27,108
28,110
29,112
30,113
31,114
32,115
33,118
34,119
35,120
36,122
37,123
38,128
39,131
40,133
41,135
42,136
43,139
44,141
45,142
46,143
47,144
48,146
49,147
50,149
51,150
52,152
53,153
54,154
55,156
56,164
57,165
58,167
59,170
60,172
61,174
62,175
63,176
64,178
65,180
66,181
67,185
68,186
69,187
70,190
71,191
72,192
73,194
74,197
75,198
76,199
77,201
78,203
79,205
80,210
81,213
82,215
83,223
84,224
85,229
86,232
87,236
88,240
89,242
90,243
91,245
92,246
93,249
94,251
95,256
96,261
97,266
98,270
99,271
100,272
101,273
102,275
103,276
104,277
105,278
106,279
107,280
108,282
109,283
110,287
111,288
112,290
113,291
114,293
115,294
116,297
117,298
118,300
119,301
120,302
121,304
122,310
123,311
124,314
125,316
126,318
127,321
128,324
129,327
130,328
131,329
132,337
133,339
134,342
135,343
136,345
137,346
138,349
139,350
140,351
141,352
142,355
143,356
144,358
145,360
146,361
147,363
148,364
149,365
150,366
151,374
152,375
153,376
154,378
155,379
156,380
157,381
158,383
159,384
160,385
161,387
162,393
163,396
164,399
165,400
166,401
167,402
168,404
169,407
170,408
171,409
172,411
173,412
174,413
175,414
176,422
177,423
178,424
179,428
180,429
181,431
182,432
183,434
184,435
185,436
186,437
187,444
188,445
189,450
190,454
191,456
192,458
193,459
194,460
195,461
196,464
197,465
198,466
199,467
200,469
201,471
202,472
203,473
204,478
205,483
206,484
207,489
208,490
209,492
210,493
211,495
212,496
213,498
214,502
215,503
216,504
217,506
218,508
219,512
220,514
221,517
222,519
223,520
224,524
225,526
226,531
227,533
228,534
229,535
230,536
231,539
232,540
233,543
234,544
235,546
236,547
237,548
238,555
239,556
240,557
241,558
242,559
243,560
244,561
245,563
246,564
247,565
248,567
249,570
250,571
251,580
252,581
253,582
254,583
255,584
256,585
257,588
258,589
259,590
260,591
261,593
262,595
263,601
264,602
265,603
266,604
267,605
268,606
269,607
270,608
271,609
272,612
273,614
274,615
275,616
276,617
277,623
278,626
279,628
280,630
281,632
282,634
283,635
284,636
285,637
286,638
287,639
288,642
289,643
290,644
291,645
292,647
293,648
294,650
295,651
296,652
297,653
298,657
299,658
300,659
301,660
302,661
303,665
304,666
305,669
306,670
307,671
308,672
309,673
310,674
311,676
312,680
313,682
314,683
315,685
316,688
317,689
318,690
319,691
320,692
321,693
322,696
323,705
324,712
325,719
326,730
327,736
328,742
329,747
330,749
331,754
332,759
333,760
334,768
335,773
336,776
337,777
338,778
339,779
340,780
341,782
342,809
343,820
344,822
345,824
346,825
347,828
348,833
349,834
350,854
351,860
352,868
353,876
354,884
355,885
356,893
357,897
358,902
359,912
360,913
361,916
362,930
363,931
364,932
365,933
366,938
367,953
368,956
369,958
370,962
371,965
372,970
373,971
374,975
375,992
376,1005
377,1018
378,1024
379,1033
380,1035
